timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662661776386,857,AAPL/api/v2/search/securities-564,200,OK,GLOBAL SEARCH 1-1,text,true,,1383,1125,1,1,https://research-preview.morningstar.com/api/v2/search/securities?q=a&limit=7,856,0,268
1662661777244,440,AAPL/api/v2/search/securities-565,200,OK,GLOBAL SEARCH 1-1,text,true,,1264,1128,1,1,https://research-preview.morningstar.com/api/v2/search/securities?q=aapl&limit=7,440,0,0
1662661777685,567,AAPL/api/v2/securities/0P000000GY/realtime-566,200,OK,GLOBAL SEARCH 1-1,text,true,,685,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P000000GY/realtime?dataPoints=lastPrice,netChange",567,0,0
1662661778253,203,AAPL/api/v2/securities/0P00007NXM/realtime-570,200,OK,GLOBAL SEARCH 1-1,text,true,,689,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00007NXM/realtime?dataPoints=lastPrice,netChange",202,0,0
1662661778456,405,AAPL/api/v2/securities/0P0000BQNK/realtime-567,200,OK,GLOBAL SEARCH 1-1,text,true,,687,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P0000BQNK/realtime?dataPoints=lastPrice,netChange",405,0,0
1662661778862,192,AAPL/api/v2/securities/0P00011HZW/realtime-571,200,OK,GLOBAL SEARCH 1-1,text,true,,688,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00011HZW/realtime?dataPoints=lastPrice,netChange",191,0,0
1662661779055,184,AAPL/api/v2/securities/0P0001P7KW/realtime-568,200,OK,GLOBAL SEARCH 1-1,text,true,,691,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P0001P7KW/realtime?dataPoints=lastPrice,netChange",183,0,0
1662661779239,186,AAPL/api/v2/securities/0P0000X7UP/realtime-569,200,OK,GLOBAL SEARCH 1-1,text,true,,685,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P0000X7UP/realtime?dataPoints=lastPrice,netChange",186,0,0
1662661779426,187,AAPL/api/v2/securities/0P0000BPWO/realtime-572,200,OK,GLOBAL SEARCH 1-1,text,true,,697,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P0000BPWO/realtime?dataPoints=lastPrice,netChange",187,0,0
1662661779614,206,"AAPL/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-573",200,OK,GLOBAL SEARCH 1-1,text,true,,1337,1412,1,1,"https://research-preview.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",205,0,0
1662661779820,582,AAPL/api/v2/securities/movers-574,200,OK,GLOBAL SEARCH 1-1,text,true,,2036,1187,1,1,"https://research-preview.morningstar.com/api/v2/securities/movers?dataPoints=name,performanceID,volume,lastPrice,netChange,percentNetChange",581,0,0
1662661780402,121,"See Articles and Videos/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-2",200,OK,GLOBAL SEARCH 1-1,text,true,,1339,1412,1,1,"https://research-preview.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",121,0,0
1662661780524,1271,See Articles and Videos/api/v1/search/articles-1,200,OK,GLOBAL SEARCH 1-1,text,true,,2568,1146,1,1,https://research-preview.morningstar.com/api/v1/search/articles?q=aapl&page=1&limit=10&context=200,1271,0,0
1662661781796,242,See All Results/api/v2/search/securities-13,200,OK,GLOBAL SEARCH 1-1,text,true,,1450,1129,1,1,https://research-preview.morningstar.com/api/v2/search/securities?q=aapl&limit=10,241,0,0
1662661782038,525,See All Results/api/v1/search/entities-10,200,OK,GLOBAL SEARCH 1-1,text,true,,612,1205,1,1,"https://research-preview.morningstar.com/api/v1/search/entities?q=aapl&types=rps_author,rps_collection,com_page,company,leadership,products_services&limit=10",525,0,0
1662661782564,638,See All Results/api/v2/search/securities-11,200,OK,GLOBAL SEARCH 1-1,text,true,,5189,1129,1,1,https://research-preview.morningstar.com/api/v2/search/securities?q=aapl&limit=80,637,0,0
1662661783202,221,See All Results/api/v1/search/articles-12,200,OK,GLOBAL SEARCH 1-1,text,true,,1173,1126,1,1,https://research-preview.morningstar.com/api/v1/search/articles?q=aapl&limit=5,221,0,0
1662661783424,111,AMZN/api/v2/search/securities-575,200,OK,GLOBAL SEARCH 1-1,text,true,,1390,1125,1,1,https://research-preview.morningstar.com/api/v2/search/securities?q=a&limit=7,111,0,0
1662661783536,209,AMZN/api/v2/search/securities-576,200,OK,GLOBAL SEARCH 1-1,text,true,,1250,1126,1,1,https://research-preview.morningstar.com/api/v2/search/securities?q=am&limit=7,209,0,0
1662661783746,189,AMZN/api/v2/securities/0P00009WEM/realtime-577,200,OK,GLOBAL SEARCH 1-1,text,true,,687,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00009WEM/realtime?dataPoints=lastPrice,netChange",189,0,0
1662661783935,193,AMZN/api/v2/securities/0P00017M6Y/realtime-581,200,OK,GLOBAL SEARCH 1-1,text,true,,685,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00017M6Y/realtime?dataPoints=lastPrice,netChange",192,0,0
1662661784128,213,AMZN/api/v2/securities/0P0001ACT3/realtime-578,200,OK,GLOBAL SEARCH 1-1,text,true,,684,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P0001ACT3/realtime?dataPoints=lastPrice,netChange",213,0,0
1662661784341,185,AMZN/api/v2/securities/0P0001322R/realtime-579,200,OK,GLOBAL SEARCH 1-1,text,true,,686,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P0001322R/realtime?dataPoints=lastPrice,netChange",185,0,0
1662661784526,193,AMZN/api/v2/securities/0P0001322T/realtime-580,200,OK,GLOBAL SEARCH 1-1,text,true,,684,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P0001322T/realtime?dataPoints=lastPrice,netChange",192,0,0
1662661784719,184,AMZN/api/v2/securities/0P000151KD/realtime-582,200,OK,GLOBAL SEARCH 1-1,text,true,,692,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P000151KD/realtime?dataPoints=lastPrice,netChange",184,0,0
1662661784903,200,AMZN/api/v2/securities/0P0000BEYH/realtime-583,200,OK,GLOBAL SEARCH 1-1,text,true,,687,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P0000BEYH/realtime?dataPoints=lastPrice,netChange",199,0,0
1662661785103,123,"AMZN/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-586",200,OK,GLOBAL SEARCH 1-1,text,true,,1339,1412,1,1,"https://research-preview.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",122,0,0
1662661785226,242,AMZN/api/v2/search/securities-585,200,OK,GLOBAL SEARCH 1-1,text,true,,1352,1128,1,1,https://research-preview.morningstar.com/api/v2/search/securities?q=amzn&limit=7,242,0,0
1662661785469,278,AMZN/api/v2/search/securities-584,200,OK,GLOBAL SEARCH 1-1,text,true,,1355,1127,1,1,https://research-preview.morningstar.com/api/v2/search/securities?q=amz&limit=7,278,0,0
1662661785748,192,AMZN/api/v2/securities/0P0000002C/realtime-591,200,OK,GLOBAL SEARCH 1-1,text,true,,686,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P0000002C/realtime?dataPoints=lastPrice,netChange",191,0,0
1662661785940,194,AMZN/api/v2/securities/0P00016YML/realtime-590,200,OK,GLOBAL SEARCH 1-1,text,true,,688,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00016YML/realtime?dataPoints=lastPrice,netChange",194,0,0
1662661786135,203,AMZN/api/v2/securities/0P000000B7/realtime-587,200,OK,GLOBAL SEARCH 1-1,text,true,,690,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P000000B7/realtime?dataPoints=lastPrice,netChange",203,0,0
1662661786339,202,AMZN/api/v2/securities/0P00007NYP/realtime-589,200,OK,GLOBAL SEARCH 1-1,text,true,,688,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00007NYP/realtime?dataPoints=lastPrice,netChange",202,0,0
1662661786542,245,AMZN/api/v2/securities/0P000000F0/realtime-588,200,OK,GLOBAL SEARCH 1-1,text,true,,685,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P000000F0/realtime?dataPoints=lastPrice,netChange",244,0,0
1662661786787,189,AMZN/api/v2/securities/0P00019QA2/realtime-593,200,OK,GLOBAL SEARCH 1-1,text,true,,682,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00019QA2/realtime?dataPoints=lastPrice,netChange",189,0,0
1662661786977,143,"AMZN/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-594",200,OK,GLOBAL SEARCH 1-1,text,true,,1332,1418,1,1,"https://research-preview.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice%2CnetChange%2CpercentNetChange%2CoptionExpirationDate",143,0,0
1662661787120,112,AMZN/api/v2/securities/movers-595,200,OK,GLOBAL SEARCH 1-1,text,true,,2043,1187,1,1,"https://research-preview.morningstar.com/api/v2/securities/movers?dataPoints=name,performanceID,volume,lastPrice,netChange,percentNetChange",112,0,0
1662661787233,385,See Articles and Videos/api/v1/search/articles-17,200,OK,GLOBAL SEARCH 1-1,text,true,,2529,1146,1,1,https://research-preview.morningstar.com/api/v1/search/articles?q=amzn&page=1&limit=10&context=200,385,0,0
1662661787619,326,See All Results/api/v2/search/securities-24,200,OK,GLOBAL SEARCH 1-1,text,true,,1524,1129,1,1,https://research-preview.morningstar.com/api/v2/search/securities?q=amzn&limit=10,325,0,0
1662661787945,257,See All Results/api/v1/search/articles-23,200,OK,GLOBAL SEARCH 1-1,text,true,,1141,1126,1,1,https://research-preview.morningstar.com/api/v1/search/articles?q=amzn&limit=5,257,0,0
1662661788203,512,See All Results/api/v2/search/securities-22,200,OK,GLOBAL SEARCH 1-1,text,true,,4671,1129,1,1,https://research-preview.morningstar.com/api/v2/search/securities?q=amzn&limit=80,512,0,0
1662661788716,497,See All Results/api/v1/search/entities-21,200,OK,GLOBAL SEARCH 1-1,text,true,,612,1205,1,1,"https://research-preview.morningstar.com/api/v1/search/entities?q=amzn&types=rps_author,rps_collection,com_page,company,leadership,products_services&limit=10",496,0,0
1662661789213,115,ADOBE/api/v2/search/securities-596,200,OK,GLOBAL SEARCH 1-1,text,true,,1391,1125,1,1,https://research-preview.morningstar.com/api/v2/search/securities?q=a&limit=7,114,0,0
1662661789328,110,ADOBE/api/v2/securities/movers-600,200,OK,GLOBAL SEARCH 1-1,text,true,,2043,1187,1,1,"https://research-preview.morningstar.com/api/v2/securities/movers?dataPoints=name,performanceID,volume,lastPrice,netChange,percentNetChange",110,0,0
1662661789439,115,"ADOBE/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-601",200,OK,GLOBAL SEARCH 1-1,text,true,,1340,1412,1,1,"https://research-preview.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",115,0,0
