timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1661470645391,946,AAPL/api/v2/search/securities-564,200,OK,GLOBAL SEARCH 1-1,text,true,,1387,1125,1,1,https://research-preview.morningstar.com/api/v2/search/securities?q=a&limit=7,945,0,307
1661470646338,5827,AAPL/api/v2/search/securities-565,200,OK,GLOBAL SEARCH 1-1,text,true,,1265,1128,1,1,https://research-preview.morningstar.com/api/v2/search/securities?q=aapl&limit=7,5826,0,0
1661470652167,485,AAPL/api/v2/securities/0P000000GY/realtime-566,200,OK,GLOBAL SEARCH 1-1,text,true,,688,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P000000GY/realtime?dataPoints=lastPrice,netChange",485,0,0
1661470652653,443,AAPL/api/v2/securities/0P00007NXM/realtime-570,200,OK,GLOBAL SEARCH 1-1,text,true,,686,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00007NXM/realtime?dataPoints=lastPrice,netChange",443,0,0
1661470653097,389,AAPL/api/v2/securities/0P0000BQNK/realtime-567,200,OK,GLOBAL SEARCH 1-1,text,true,,686,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P0000BQNK/realtime?dataPoints=lastPrice,netChange",389,0,0
1661470653487,526,AAPL/api/v2/securities/0P00011HZW/realtime-571,200,OK,GLOBAL SEARCH 1-1,text,true,,691,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00011HZW/realtime?dataPoints=lastPrice,netChange",526,0,0
1661470654014,189,AAPL/api/v2/securities/0P0001P7KW/realtime-568,200,OK,GLOBAL SEARCH 1-1,text,true,,693,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P0001P7KW/realtime?dataPoints=lastPrice,netChange",188,0,0
1661470654204,189,AAPL/api/v2/securities/0P0000X7UP/realtime-569,200,OK,GLOBAL SEARCH 1-1,text,true,,690,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P0000X7UP/realtime?dataPoints=lastPrice,netChange",189,0,0
1661470654394,205,AAPL/api/v2/securities/0P0000BPWO/realtime-572,200,OK,GLOBAL SEARCH 1-1,text,true,,698,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P0000BPWO/realtime?dataPoints=lastPrice,netChange",205,0,0
1661470654600,185,"AAPL/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-573",200,OK,GLOBAL SEARCH 1-1,text,true,,1325,1412,1,1,"https://research-preview.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",185,0,0
1661470654786,539,AAPL/api/v2/securities/movers-574,200,OK,GLOBAL SEARCH 1-1,text,true,,1933,1187,1,1,"https://research-preview.morningstar.com/api/v2/securities/movers?dataPoints=name,performanceID,volume,lastPrice,netChange,percentNetChange",539,0,0
1661470655326,113,"See Articles and Videos/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-2",200,OK,GLOBAL SEARCH 1-1,text,true,,1327,1412,1,1,"https://research-preview.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",113,0,0
1661470655440,353,See Articles and Videos/api/v1/search/articles-1,200,OK,GLOBAL SEARCH 1-1,text,true,,2424,1146,1,1,https://research-preview.morningstar.com/api/v1/search/articles?q=aapl&page=1&limit=10&context=200,353,0,0
1661470655794,202,See Articles and Videos/j/collect?v=1&_v=j96&a=1386799089&t=event&ni=0&_s=1&dl=https%3A%2F%2Fresearch-preview.morningstar.com%2Fsearch%2Farticles%3Fquery%3Daapl&dr=https%3A%2F%2Fmorningstar.okta.com%2F&ul=en-us&de=UTF-8&dt=Articles%20and%20Videos%20Search%20for%20aapl%20%7C%20Morningstar&sd=30-bit&sr=1920x1080&vp=1028x890&je=0&ec=%2Fsearch%2Farticles%3Fquery%3Daapl&ea=open&el=Articles%20and%20Videos%20Search%20for%20aapl%20%7C%20Morningstar&_u=SACAAEABAAAAAC~&jid=446747056&gjid=1942753410&cid=1018682416.1660840984&tid=UA-217690896-1&_gid=1825844950.1661272309&_r=1&gtm=2wg8m053GZMMT&cd3=EQ&cd4=0000-0000-0000-0000&cd5=00000000&cd6=Internal&cd7=morningstar&cd8=MOR&z=2107331130-7,200,OK,GLOBAL SEARCH 1-1,text,true,,635,1133,1,1,https://www.google-analytics.com/j/collect?v=1&_v=j96&a=1386799089&t=event&ni=0&_s=1&dl=https%3A%2F%2Fresearch-preview.morningstar.com%2Fsearch%2Farticles%3Fquery%3Daapl&dr=https%3A%2F%2Fmorningstar.okta.com%2F&ul=en-us&de=UTF-8&dt=Articles%20and%20Videos%20Search%20for%20aapl%20%7C%20Morningstar&sd=30-bit&sr=1920x1080&vp=1028x890&je=0&ec=%2Fsearch%2Farticles%3Fquery%3Daapl&ea=open&el=Articles%20and%20Videos%20Search%20for%20aapl%20%7C%20Morningstar&_u=SACAAEABAAAAAC~&jid=446747056&gjid=1942753410&cid=1018682416.1660840984&tid=UA-217690896-1&_gid=1825844950.1661272309&_r=1&gtm=2wg8m053GZMMT&cd3=EQ&cd4=0000-0000-0000-0000&cd5=00000000&cd6=Internal&cd7=morningstar&cd8=MOR&z=2107331130,202,0,125
1661470655997,206,See Articles and Videos/g/collect?v=2&tid=G-LEPHTTYQEC&gtm=2oe8m0&_p=1386799089&_gaz=1&cid=1018682416.1660840984&ul=en-us&sr=1920x1080&_z=ccd.v9B&_s=15&dl=https%3A%2F%2Fresearch-preview.morningstar.com%2Fsearch%2Farticles%3Fquery%3Daapl&dr=https%3A%2F%2Fresearch-preview.morningstar.com%2Fmarkets&sid=1661276073&sct=3&seg=1&dt=Articles%20and%20Videos%20Search%20for%20aapl%20%7C%20Morningstar&en=page_view&_et=47609-8,204,No Content,GLOBAL SEARCH 1-1,text,true,,563,903,1,1,https://analytics.google.com/g/collect?v=2&tid=G-LEPHTTYQEC&gtm=2oe8m0&_p=1386799089&_gaz=1&cid=1018682416.1660840984&ul=en-us&sr=1920x1080&_z=ccd.v9B&_s=15&dl=https%3A%2F%2Fresearch-preview.morningstar.com%2Fsearch%2Farticles%3Fquery%3Daapl&dr=https%3A%2F%2Fresearch-preview.morningstar.com%2Fmarkets&sid=1661276073&sct=3&seg=1&dt=Articles%20and%20Videos%20Search%20for%20aapl%20%7C%20Morningstar&en=page_view&_et=47609,0,0,127
1661470656204,214,See Articles and Videos/ads/ga-audiences-9,200,OK,GLOBAL SEARCH 1-1,bin,true,,678,509,1,1,https://www.google.com.co/ads/ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-LEPHTTYQEC&cid=1018682416.1660840984&gtm=2oe8m0&aip=1&z=1282655278,214,0,134
1661470656419,232,See All Results/api/v2/search/securities-13,200,OK,GLOBAL SEARCH 1-1,text,true,,1446,1129,1,1,https://research-preview.morningstar.com/api/v2/search/securities?q=aapl&limit=10,232,0,0
1661470656651,280,See All Results/api/v1/search/entities-10,200,OK,GLOBAL SEARCH 1-1,text,true,,612,1205,1,1,"https://research-preview.morningstar.com/api/v1/search/entities?q=aapl&types=rps_author,rps_collection,com_page,company,leadership,products_services&limit=10",280,0,0
1661470656932,1217,See All Results/api/v2/search/securities-11,200,OK,GLOBAL SEARCH 1-1,text,true,,5257,1129,1,1,https://research-preview.morningstar.com/api/v2/search/securities?q=aapl&limit=80,1217,0,0
1661470658150,124,See All Results/api/v1/search/articles-12,200,OK,GLOBAL SEARCH 1-1,text,true,,1103,1126,1,1,https://research-preview.morningstar.com/api/v1/search/articles?q=aapl&limit=5,123,0,0
1661470658274,83,See All Results/j/collect?v=1&_v=j96&a=1386799089&t=event&ni=0&_s=1&dl=https%3A%2F%2Fresearch-preview.morningstar.com%2Fsearch%3Fquery%3Daapl&dr=https%3A%2F%2Fmorningstar.okta.com%2F&ul=en-us&de=UTF-8&dt=Search%20Results%20for%20aapl%20%7C%20Morningstar&sd=30-bit&sr=1920x1080&vp=1028x890&je=0&ec=%2Fsearch%3Fquery%3Daapl&ea=open&el=Search%20Results%20for%20aapl%20%7C%20Morningstar&_u=SACAAEABAAAAAC~&jid=893438446&gjid=116875075&cid=1018682416.1660840984&tid=UA-217690896-1&_gid=1825844950.1661272309&_r=1&gtm=2wg8m053GZMMT&cd3=EQ&cd4=0000-0000-0000-0000&cd5=00000000&cd6=Internal&cd7=morningstar&cd8=MOR&z=810560450-14,200,OK,GLOBAL SEARCH 1-1,text,true,,635,1077,1,1,https://www.google-analytics.com/j/collect?v=1&_v=j96&a=1386799089&t=event&ni=0&_s=1&dl=https%3A%2F%2Fresearch-preview.morningstar.com%2Fsearch%3Fquery%3Daapl&dr=https%3A%2F%2Fmorningstar.okta.com%2F&ul=en-us&de=UTF-8&dt=Search%20Results%20for%20aapl%20%7C%20Morningstar&sd=30-bit&sr=1920x1080&vp=1028x890&je=0&ec=%2Fsearch%3Fquery%3Daapl&ea=open&el=Search%20Results%20for%20aapl%20%7C%20Morningstar&_u=SACAAEABAAAAAC~&jid=893438446&gjid=116875075&cid=1018682416.1660840984&tid=UA-217690896-1&_gid=1825844950.1661272309&_r=1&gtm=2wg8m053GZMMT&cd3=EQ&cd4=0000-0000-0000-0000&cd5=00000000&cd6=Internal&cd7=morningstar&cd8=MOR&z=810560450,83,0,0
1661470658358,96,See All Results/g/collect?v=2&tid=G-LEPHTTYQEC&gtm=2oe8m0&_p=1386799089&_gaz=1&cid=1018682416.1660840984&ul=en-us&sr=1920x1080&_z=ccd.v9B&_s=17&dl=https%3A%2F%2Fresearch-preview.morningstar.com%2Fsearch%3Fquery%3Daapl&dr=https%3A%2F%2Fresearch-preview.morningstar.com%2Fmarkets&sid=1661276073&sct=3&seg=1&dt=Search%20Results%20for%20aapl%20%7C%20Morningstar&en=page_view&_et=10355-15,204,No Content,GLOBAL SEARCH 1-1,text,true,,563,876,1,1,https://analytics.google.com/g/collect?v=2&tid=G-LEPHTTYQEC&gtm=2oe8m0&_p=1386799089&_gaz=1&cid=1018682416.1660840984&ul=en-us&sr=1920x1080&_z=ccd.v9B&_s=17&dl=https%3A%2F%2Fresearch-preview.morningstar.com%2Fsearch%3Fquery%3Daapl&dr=https%3A%2F%2Fresearch-preview.morningstar.com%2Fmarkets&sid=1661276073&sct=3&seg=1&dt=Search%20Results%20for%20aapl%20%7C%20Morningstar&en=page_view&_et=10355,0,0,0
1661470658454,111,See All Results/ads/ga-audiences-16,200,OK,GLOBAL SEARCH 1-1,bin,true,,678,509,1,1,https://www.google.com.co/ads/ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-LEPHTTYQEC&cid=1018682416.1660840984&gtm=2oe8m0&aip=1&z=2147308151,111,0,0
1661470658566,119,AMZN/api/v2/search/securities-575,200,OK,GLOBAL SEARCH 1-1,text,true,,1395,1125,1,1,https://research-preview.morningstar.com/api/v2/search/securities?q=a&limit=7,119,0,0
1661470658686,2697,AMZN/api/v2/search/securities-576,200,OK,GLOBAL SEARCH 1-1,text,true,,1265,1126,1,1,https://research-preview.morningstar.com/api/v2/search/securities?q=am&limit=7,2696,0,0
1661470661384,201,AMZN/api/v2/securities/0P00009WEM/realtime-577,200,OK,GLOBAL SEARCH 1-1,text,true,,692,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00009WEM/realtime?dataPoints=lastPrice,netChange",200,0,0
1661470661585,196,AMZN/api/v2/securities/0P00017M6Y/realtime-581,200,OK,GLOBAL SEARCH 1-1,text,true,,692,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P00017M6Y/realtime?dataPoints=lastPrice,netChange",196,0,0
1661470661781,189,AMZN/api/v2/securities/0P0001ACT3/realtime-578,200,OK,GLOBAL SEARCH 1-1,text,true,,691,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P0001ACT3/realtime?dataPoints=lastPrice,netChange",189,0,0
1661470661971,190,AMZN/api/v2/securities/0P0001322R/realtime-579,200,OK,GLOBAL SEARCH 1-1,text,true,,691,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P0001322R/realtime?dataPoints=lastPrice,netChange",189,0,0
1661470662161,195,AMZN/api/v2/securities/0P0001322T/realtime-580,200,OK,GLOBAL SEARCH 1-1,text,true,,686,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P0001322T/realtime?dataPoints=lastPrice,netChange",195,0,0
1661470662357,185,AMZN/api/v2/securities/0P000151KD/realtime-582,200,OK,GLOBAL SEARCH 1-1,text,true,,692,1157,1,1,"https://research-preview.morningstar.com/api/v2/securities/0P000151KD/realtime?dataPoints=lastPrice,netChange",185,0,0
