timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1661896631349,677,AAPL/api/v2/securities/by-id-614,200,OK,SAL PAGES 1-1,text,true,,933,1105,1,1,https://research-preview.morningstar.com/api/v2/securities/by-id?ids=0P000000GY&fields=name,674,0,291
1661896632028,366,AAPL/api/v2/securities/by-id-616,200,OK,SAL PAGES 1-1,text,true,,1471,1149,1,1,https://research-preview.morningstar.com/api/v2/securities/by-id?ids=0P000000GY&fields=analystRating%2CfundStarRating%2CstockStarRating,366,0,0
1661896632394,185,AAPL/api/v1/securities/reports-615,200,OK,SAL PAGES 1-1,text,true,,652,1094,1,1,https://research-preview.morningstar.com/api/v1/securities/reports?id=0P000000GY,184,0,0
1661896632580,502,AAPL/api/v2/securities/by-id-621,200,OK,SAL PAGES 1-1,text,true,,1241,1350,1,1,https://research-preview.morningstar.com/api/v2/securities/by-id?ids=0P000000GY&fields=morningstarCategory%2CfundEquityStyleBox%2CinvestmentType%2CfundFixedIncomeStyleBox%2CinvestmentStatus%2CdistributionClass%2Cis529Fund%2CisLeveragedFund%2CisIndexFund%2CprospectusObjective%2CstrategicBetaGroup%2CsustainabilityRating%2Cname,501,0,0
1661896633082,337,AAPL/api/v1/news-619,200,OK,SAL PAGES 1-1,text,true,,5522,1110,1,1,https://research-preview.morningstar.com/api/v1/news?limit=30&performanceId=0P000000GY,337,0,0
1661896633420,711,AAPL/api/v2/securities/0P000000GY/timeseries-623,200,OK,SAL PAGES 1-1,text,true,,3227,1112,1,1,https://research-preview.morningstar.com/api/v2/securities/0P000000GY/timeseries?days=23,711,0,0
1661896634132,929,AAPL/api/v1/articles-620,200,OK,SAL PAGES 1-1,text,true,,4793,1155,1,1,"https://research-preview.morningstar.com/api/v1/articles?limit=30&skip-count=true&securities=0P000000GY&collections=220,242,757,796",929,0,0
1661896635062,1045,AAPL/api/v1/articles-622,200,OK,SAL PAGES 1-1,text,true,,10262,1213,1,1,"https://research-preview.morningstar.com/api/v1/articles?limit=30&skip-count=true&securities=0P000000GY&collections=179,584,440,748,35,520,437,433,234,467,7,732,2,582,172,17,374,507,178,177",1044,0,0
1661896636108,787,AAPL/sal-service/v1/stock/morningstarTake/v4/0P000000GY/analysisReport?locale=en&languageId=en&locale=en&clientId=rsrchexp&component=sal-components-take&version=3.76.0-626,200,OK,SAL PAGES 1-1,,true,,668,1336,1,1,https://api-global.morningstar.com/sal-service/v1/stock/morningstarTake/v4/0P000000GY/analysisReport?locale=en&languageId=en&locale=en&clientId=rsrchexp&component=sal-components-take&version=3.76.0,787,0,358
1661896636896,317,AAPL/sal-service/v1/stock/morningstarTake/v3/0P000000GY/analysisData?locale=en&languageId=en&locale=en&clientId=rsrchexp&component=sal-components-take&version=3.76.0-628,200,OK,SAL PAGES 1-1,,true,,668,1334,1,1,https://api-global.morningstar.com/sal-service/v1/stock/morningstarTake/v3/0P000000GY/analysisData?locale=en&languageId=en&locale=en&clientId=rsrchexp&component=sal-components-take&version=3.76.0,317,0,0
