timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662635327538,822,Display page/v4/fullHashes:find-279,200,OK,TOPIC PAGES 1-1,text,true,,803,648,1,1,https://safebrowsing.googleapis.com/v4/fullHashes:find?$ct=application/x-protobuf&key=AIzaSyC7jsptDS3am4tPx4r3nxis7IMjBc5Dovo&$httpMethod=POST&$req=ChUKE25hdmNsaWVudC1hdXRvLWZmb3gSGwoNCAUQBhgBIgMwMDEwARDinQ4aAhgG2ekr6houCAUQBBoGCgTbB5DwGgYKBFU9AOsaBgoEVUnldBoGCgSVXn_GGgYKBKVfgyQgAQ==,821,0,718
1662635328363,1260,Display page/api/v1/articles-277,200,OK,TOPIC PAGES 1-1,text,true,,1758,1154,1,1,https://research-preview.morningstar.com/api/v1/articles?collections=467&keywords=3&limit=3&skip-count=true,1260,0,523
1662635329624,527,Display page/api/v1/articles-278,200,OK,TOPIC PAGES 1-1,text,true,,2213,1143,1,1,https://research-preview.morningstar.com/api/v1/articles?collections=500&skip-count=true&limit=5,526,0,0
1662635330151,474,Display page/api/v1/articles-270,200,OK,TOPIC PAGES 1-1,text,true,,3367,1135,1,1,https://research-preview.morningstar.com/api/v1/articles?collections=504&skip-count=true,473,0,0
1662635330625,578,Display page/api/v1/articles-275,200,OK,TOPIC PAGES 1-1,text,true,,3440,1144,1,1,https://research-preview.morningstar.com/api/v1/articles?collections=507&limit=12&skip-count=true,578,0,0
1662635331203,396,Display page/api/v1/articles-273,200,OK,TOPIC PAGES 1-1,text,true,,2996,1144,1,1,https://research-preview.morningstar.com/api/v1/articles?collections=234&limit=12&skip-count=true,396,0,0
1662635331599,9797,Display page/api/v1/articles-276,200,OK,TOPIC PAGES 1-1,text,true,,2727,1143,1,1,https://research-preview.morningstar.com/api/v1/articles?collections=179&limit=6&skip-count=true,9797,0,0
1662635341398,271,Display page/api/v1/investment-lists-280,200,OK,TOPIC PAGES 1-1,text,true,,1322,1132,1,1,https://research-preview.morningstar.com/api/v1/investment-lists?tags=stocks&limit=10,270,0,0
1662635341669,5073,Display page/api/v2/securities/query-272,200,OK,TOPIC PAGES 1-1,text,true,,1692,1339,1,1,"https://research-preview.morningstar.com/api/v2/securities/query?q=investmentType+%3D+%22EQ%22+AND+stockStarRating.isQuant%3Dfalse+AND+stockStarRating.change+%3D+%22Upgrade%22+AND+stockStarRating%3D5&fields=name,ticker,stockStarRating,exchange&sort=stockStarRating.date:desc,name:asc&limit=10",5072,0,0
1662635346743,271,Display page/api/v1/articles-284,200,OK,TOPIC PAGES 1-1,text,true,,9401,1150,1,1,https://research-preview.morningstar.com/api/v1/articles?collections=502%2C498&skip-count=true&locale=*,271,0,0
1662635347014,211,Display page/api/v1/articles-274,200,OK,TOPIC PAGES 1-1,text,true,,53974,1168,1,1,"https://research-preview.morningstar.com/api/v1/articles?collections=555,547,548,549,550,551,546&skip-count=true&limit=20",145,0,0
1662635347226,9219,Display page/api/v2/securities/query-287,200,OK,TOPIC PAGES 1-1,text,true,,1258,1265,1,1,https://research-preview.morningstar.com/api/v2/securities/query?fields=name%2CstockStarRating&q=%28investmentType%3D%27EQ%27%29+AND+%28stockStarRating%3D5+AND+stockStarRating.isQuant%3Dfalse%29&sort=name%3Aasc&limit=5,9219,0,0
1662635356447,7632,Display page/api/v2/securities/query-289,200,OK,TOPIC PAGES 1-1,text,true,,1163,1347,1,1,https://research-preview.morningstar.com/api/v2/securities/query?fields=name%2CstockStarRating&q=%28investmentType%3D%27EQ%27%29+AND+%28economicMoat+IN+%28%27Narrow%27%2C+%27Wide%27%29+AND+stockStarRating%3E%3D+4+AND+fairValue.uncertainty+IN+%28%27Low%27%2C+%27Medium%27%29%29&sort=name%3Aasc&limit=5,7632,0,0
1662635364075,1282,Display page/api/v2/securities/query-286,200,OK,TOPIC PAGES 1-1,text,true,,1175,1306,1,1,"https://research-preview.morningstar.com/api/v2/securities/query?fields=name,stockStarRating&q=(investmentType%3D%27EQ%27)+AND+(priceFairValueRatio%3E%3D1.4+AND+stockStyleBox+IN+(%27Large+Value%27,+%27Large+Growth%27,+%27Large+Blend%27))&sort=name:asc&limit=5",1281,0,0
1662635365357,1504,Display page/api/v2/securities/query-285,200,OK,TOPIC PAGES 1-1,text,true,,1207,1350,1,1,"https://research-preview.morningstar.com/api/v2/securities/query?fields=name,stockStarRating&q=(investmentType%3D%27EQ%27)+AND+(economicMoat+IN+(%27Narrow%27,+%27Wide%27)+AND+economicMoat.trend+IN+(%27Stable%27,+%27Positive%27)+AND+stockStarRating%3E%3D4+AND+sector%3D%27Energy%27)&sort=name:asc&limit=5",1503,0,0
