timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662634137780,2125,AAPL/api/v2/search/securities-564,200,OK,GLOBAL SEARCH 1-1,text,true,,1383,1098,1,1,https://research.morningstar.com/api/v2/search/securities?q=a&limit=7,2123,0,1256
1662634139907,618,AAPL/api/v2/search/securities-565,200,OK,GLOBAL SEARCH 1-1,text,true,,1267,1101,1,1,https://research.morningstar.com/api/v2/search/securities?q=aapl&limit=7,618,0,0
1662634140527,194,AAPL/api/v2/securities/0P000000GY/realtime-566,200,OK,GLOBAL SEARCH 1-1,text,true,,689,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P000000GY/realtime?dataPoints=lastPrice,netChange",193,0,0
1662634140721,362,AAPL/api/v2/securities/0P00007NXM/realtime-570,200,OK,GLOBAL SEARCH 1-1,text,true,,690,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P00007NXM/realtime?dataPoints=lastPrice,netChange",362,0,0
1662634141083,342,AAPL/api/v2/securities/0P0000BQNK/realtime-567,200,OK,GLOBAL SEARCH 1-1,text,true,,692,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P0000BQNK/realtime?dataPoints=lastPrice,netChange",341,0,0
1662634141425,219,AAPL/api/v2/securities/0P00011HZW/realtime-571,200,OK,GLOBAL SEARCH 1-1,text,true,,687,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P00011HZW/realtime?dataPoints=lastPrice,netChange",219,0,0
1662634141644,516,AAPL/api/v2/securities/0P0001P7KW/realtime-568,200,OK,GLOBAL SEARCH 1-1,text,true,,690,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P0001P7KW/realtime?dataPoints=lastPrice,netChange",516,0,0
1662634142161,418,AAPL/api/v2/securities/0P0000X7UP/realtime-569,200,OK,GLOBAL SEARCH 1-1,text,true,,690,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P0000X7UP/realtime?dataPoints=lastPrice,netChange",418,0,0
1662634142579,506,AAPL/api/v2/securities/0P0000BPWO/realtime-572,200,OK,GLOBAL SEARCH 1-1,text,true,,697,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P0000BPWO/realtime?dataPoints=lastPrice,netChange",506,0,0
1662634143084,200,"AAPL/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-573",200,OK,GLOBAL SEARCH 1-1,text,true,,1340,1385,1,1,"https://research.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",200,0,0
