timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662653236706,1035,AAPL/api/v2/search/securities-564,200,OK,GLOBAL SEARCH 1-1,text,true,,1388,1098,1,1,https://research.morningstar.com/api/v2/search/securities?q=a&limit=7,1034,0,599
1662653237742,487,AAPL/api/v2/search/securities-565,200,OK,GLOBAL SEARCH 1-1,text,true,,1262,1101,1,1,https://research.morningstar.com/api/v2/search/securities?q=aapl&limit=7,487,0,0
1662653238230,1221,AAPL/api/v2/securities/0P000000GY/realtime-566,200,OK,GLOBAL SEARCH 1-1,text,true,,685,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P000000GY/realtime?dataPoints=lastPrice,netChange",1221,0,0
1662653239451,203,AAPL/api/v2/securities/0P00007NXM/realtime-570,200,OK,GLOBAL SEARCH 1-1,text,true,,686,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P00007NXM/realtime?dataPoints=lastPrice,netChange",203,0,0
1662653239655,201,AAPL/api/v2/securities/0P0000BQNK/realtime-567,200,OK,GLOBAL SEARCH 1-1,text,true,,687,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P0000BQNK/realtime?dataPoints=lastPrice,netChange",201,0,0
1662653239856,206,AAPL/api/v2/securities/0P00011HZW/realtime-571,200,OK,GLOBAL SEARCH 1-1,text,true,,688,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P00011HZW/realtime?dataPoints=lastPrice,netChange",206,0,0
1662653240063,238,AAPL/api/v2/securities/0P0001P7KW/realtime-568,200,OK,GLOBAL SEARCH 1-1,text,true,,691,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P0001P7KW/realtime?dataPoints=lastPrice,netChange",238,0,0
1662653240302,502,AAPL/api/v2/securities/0P0000X7UP/realtime-569,200,OK,GLOBAL SEARCH 1-1,text,true,,686,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P0000X7UP/realtime?dataPoints=lastPrice,netChange",502,0,0
1662653240805,409,AAPL/api/v2/securities/0P0000BPWO/realtime-572,200,OK,GLOBAL SEARCH 1-1,text,true,,697,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P0000BPWO/realtime?dataPoints=lastPrice,netChange",408,0,0
1662653241214,129,"AAPL/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-573",200,OK,GLOBAL SEARCH 1-1,text,true,,1325,1385,1,1,"https://research.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",129,0,0
1662653241344,547,AAPL/api/v2/securities/movers-574,200,OK,GLOBAL SEARCH 1-1,text,true,,2081,1160,1,1,"https://research.morningstar.com/api/v2/securities/movers?dataPoints=name,performanceID,volume,lastPrice,netChange,percentNetChange",546,0,0
1662653241890,134,"See Articles and Videos/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-2",200,OK,GLOBAL SEARCH 1-1,text,true,,1327,1385,1,1,"https://research.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",133,0,0
1662653242024,520,See Articles and Videos/api/v1/search/articles-1,200,OK,GLOBAL SEARCH 1-1,text,true,,2563,1119,1,1,https://research.morningstar.com/api/v1/search/articles?q=aapl&page=1&limit=10&context=200,520,0,0
1662653242544,208,See All Results/api/v2/search/securities-13,200,OK,GLOBAL SEARCH 1-1,text,true,,1445,1102,1,1,https://research.morningstar.com/api/v2/search/securities?q=aapl&limit=10,208,0,0
1662653242752,577,See All Results/api/v1/search/entities-10,200,OK,GLOBAL SEARCH 1-1,text,true,,612,1178,1,1,"https://research.morningstar.com/api/v1/search/entities?q=aapl&types=rps_author,rps_collection,com_page,company,leadership,products_services&limit=10",576,0,0
1662653243329,374,See All Results/api/v2/search/securities-11,200,OK,GLOBAL SEARCH 1-1,text,true,,5227,1102,1,1,https://research.morningstar.com/api/v2/search/securities?q=aapl&limit=80,374,0,0
1662653243704,377,See All Results/api/v1/search/articles-12,200,OK,GLOBAL SEARCH 1-1,text,true,,1165,1099,1,1,https://research.morningstar.com/api/v1/search/articles?q=aapl&limit=5,376,0,0
1662653244081,116,AMZN/api/v2/search/securities-575,200,OK,GLOBAL SEARCH 1-1,text,true,,1395,1098,1,1,https://research.morningstar.com/api/v2/search/securities?q=a&limit=7,115,0,0
1662653244197,172,AMZN/api/v2/search/securities-576,200,OK,GLOBAL SEARCH 1-1,text,true,,1259,1099,1,1,https://research.morningstar.com/api/v2/search/securities?q=am&limit=7,172,0,0
1662653244370,203,AMZN/api/v2/securities/0P00009WEM/realtime-577,200,OK,GLOBAL SEARCH 1-1,text,true,,687,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P00009WEM/realtime?dataPoints=lastPrice,netChange",202,0,0
1662653244573,327,AMZN/api/v2/securities/0P00017M6Y/realtime-581,200,OK,GLOBAL SEARCH 1-1,text,true,,685,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P00017M6Y/realtime?dataPoints=lastPrice,netChange",326,0,0
1662653244900,196,AMZN/api/v2/securities/0P0001ACT3/realtime-578,200,OK,GLOBAL SEARCH 1-1,text,true,,684,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P0001ACT3/realtime?dataPoints=lastPrice,netChange",195,0,0
1662653245096,240,AMZN/api/v2/securities/0P0001322R/realtime-579,200,OK,GLOBAL SEARCH 1-1,text,true,,691,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P0001322R/realtime?dataPoints=lastPrice,netChange",240,0,0
1662653245337,199,AMZN/api/v2/securities/0P0001322T/realtime-580,200,OK,GLOBAL SEARCH 1-1,text,true,,689,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P0001322T/realtime?dataPoints=lastPrice,netChange",199,0,0
1662653245537,245,AMZN/api/v2/securities/0P000151KD/realtime-582,200,OK,GLOBAL SEARCH 1-1,text,true,,692,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P000151KD/realtime?dataPoints=lastPrice,netChange",245,0,0
1662653245783,345,AMZN/api/v2/securities/0P0000BEYH/realtime-583,200,OK,GLOBAL SEARCH 1-1,text,true,,687,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P0000BEYH/realtime?dataPoints=lastPrice,netChange",345,0,0
1662653246129,128,"AMZN/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-586",200,OK,GLOBAL SEARCH 1-1,text,true,,1327,1385,1,1,"https://research.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",127,0,0
1662653246257,380,AMZN/api/v2/search/securities-585,200,OK,GLOBAL SEARCH 1-1,text,true,,1351,1101,1,1,https://research.morningstar.com/api/v2/search/securities?q=amzn&limit=7,380,0,0
1662653246637,414,AMZN/api/v2/search/securities-584,200,OK,GLOBAL SEARCH 1-1,text,true,,1348,1100,1,1,https://research.morningstar.com/api/v2/search/securities?q=amz&limit=7,414,0,0
1662653247053,190,AMZN/api/v2/securities/0P0000002C/realtime-591,200,OK,GLOBAL SEARCH 1-1,text,true,,684,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P0000002C/realtime?dataPoints=lastPrice,netChange",190,0,0
1662653247243,254,AMZN/api/v2/securities/0P00016YML/realtime-590,200,OK,GLOBAL SEARCH 1-1,text,true,,688,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P00016YML/realtime?dataPoints=lastPrice,netChange",253,0,0
1662653247497,215,AMZN/api/v2/securities/0P000000B7/realtime-587,200,OK,GLOBAL SEARCH 1-1,text,true,,687,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P000000B7/realtime?dataPoints=lastPrice,netChange",215,0,0
1662653247713,201,AMZN/api/v2/securities/0P00007NYP/realtime-589,200,OK,GLOBAL SEARCH 1-1,text,true,,685,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P00007NYP/realtime?dataPoints=lastPrice,netChange",201,0,0
1662653247914,204,AMZN/api/v2/securities/0P000000F0/realtime-588,200,OK,GLOBAL SEARCH 1-1,text,true,,688,1130,1,1,"https://research.morningstar.com/api/v2/securities/0P000000F0/realtime?dataPoints=lastPrice,netChange",204,0,0
