timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1661899824304,833,AAPL/api/v2/search/securities-564,200,OK,GLOBAL SEARCH 1-1,text,true,,1390,1109,1,1,https://research.morningstar.com/api/v2/search/securities?q=a&limit=7,832,0,341
1661899825139,379,AAPL/api/v2/search/securities-565,200,OK,GLOBAL SEARCH 1-1,text,true,,1264,1112,1,1,https://research.morningstar.com/api/v2/search/securities?q=aapl&limit=7,378,0,0
1661899825519,196,AAPL/api/v2/securities/0P000000GY/realtime-566,200,OK,GLOBAL SEARCH 1-1,text,true,,686,1141,1,1,"https://research.morningstar.com/api/v2/securities/0P000000GY/realtime?dataPoints=lastPrice,netChange",196,0,0
1661899825716,206,AAPL/api/v2/securities/0P00007NXM/realtime-570,200,OK,GLOBAL SEARCH 1-1,text,true,,694,1141,1,1,"https://research.morningstar.com/api/v2/securities/0P00007NXM/realtime?dataPoints=lastPrice,netChange",205,0,0
1661899825922,191,AAPL/api/v2/securities/0P0000BQNK/realtime-567,200,OK,GLOBAL SEARCH 1-1,text,true,,694,1141,1,1,"https://research.morningstar.com/api/v2/securities/0P0000BQNK/realtime?dataPoints=lastPrice,netChange",191,0,0
1661899826114,188,AAPL/api/v2/securities/0P00011HZW/realtime-571,200,OK,GLOBAL SEARCH 1-1,text,true,,692,1141,1,1,"https://research.morningstar.com/api/v2/securities/0P00011HZW/realtime?dataPoints=lastPrice,netChange",188,0,0
1661899826303,425,AAPL/api/v2/securities/0P0001P7KW/realtime-568,200,OK,GLOBAL SEARCH 1-1,text,true,,694,1141,1,1,"https://research.morningstar.com/api/v2/securities/0P0001P7KW/realtime?dataPoints=lastPrice,netChange",425,0,0
1661899826728,436,AAPL/api/v2/securities/0P0000X7UP/realtime-569,200,OK,GLOBAL SEARCH 1-1,text,true,,691,1141,1,1,"https://research.morningstar.com/api/v2/securities/0P0000X7UP/realtime?dataPoints=lastPrice,netChange",435,0,0
1661899827165,395,AAPL/api/v2/securities/0P0000BPWO/realtime-572,200,OK,GLOBAL SEARCH 1-1,text,true,,697,1141,1,1,"https://research.morningstar.com/api/v2/securities/0P0000BPWO/realtime?dataPoints=lastPrice,netChange",394,0,0
1661899827560,121,"AAPL/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-573",200,OK,GLOBAL SEARCH 1-1,text,true,,1329,1396,1,1,"https://research.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",121,0,0
1661899827682,111,AAPL/api/v2/securities/movers-574,200,OK,GLOBAL SEARCH 1-1,text,true,,2034,1171,1,1,"https://research.morningstar.com/api/v2/securities/movers?dataPoints=name,performanceID,volume,lastPrice,netChange,percentNetChange",111,0,0
1661899827794,128,"See Articles and Videos/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-2",200,OK,GLOBAL SEARCH 1-1,text,true,,1329,1396,1,1,"https://research.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",128,0,0
1661899827923,666,See Articles and Videos/api/v1/search/articles-1,200,OK,GLOBAL SEARCH 1-1,text,true,,2547,1130,1,1,https://research.morningstar.com/api/v1/search/articles?q=aapl&page=1&limit=10&context=200,665,0,0
1661899828590,309,See All Results/api/v2/search/securities-13,200,OK,GLOBAL SEARCH 1-1,text,true,,1472,1113,1,1,https://research.morningstar.com/api/v2/search/securities?q=aapl&limit=10,309,0,0
1661899828900,525,See All Results/api/v1/search/entities-10,200,OK,GLOBAL SEARCH 1-1,text,true,,612,1189,1,1,"https://research.morningstar.com/api/v1/search/entities?q=aapl&types=rps_author,rps_collection,com_page,company,leadership,products_services&limit=10",525,0,0
1661899829426,344,See All Results/api/v2/search/securities-11,200,OK,GLOBAL SEARCH 1-1,text,true,,5232,1113,1,1,https://research.morningstar.com/api/v2/search/securities?q=aapl&limit=80,343,0,0
1661899829771,275,See All Results/api/v1/search/articles-12,200,OK,GLOBAL SEARCH 1-1,text,true,,1136,1110,1,1,https://research.morningstar.com/api/v1/search/articles?q=aapl&limit=5,274,0,0
1661899830048,109,AMZN/api/v2/search/securities-575,200,OK,GLOBAL SEARCH 1-1,text,true,,1397,1109,1,1,https://research.morningstar.com/api/v2/search/securities?q=a&limit=7,108,0,0
1661899830157,171,AMZN/api/v2/search/securities-576,200,OK,GLOBAL SEARCH 1-1,text,true,,1263,1110,1,1,https://research.morningstar.com/api/v2/search/securities?q=am&limit=7,171,0,0
1661899830329,236,AMZN/api/v2/securities/0P00009WEM/realtime-577,200,OK,GLOBAL SEARCH 1-1,text,true,,687,1141,1,1,"https://research.morningstar.com/api/v2/securities/0P00009WEM/realtime?dataPoints=lastPrice,netChange",235,0,0
1661899830565,237,AMZN/api/v2/securities/0P00017M6Y/realtime-581,200,OK,GLOBAL SEARCH 1-1,text,true,,686,1141,1,1,"https://research.morningstar.com/api/v2/securities/0P00017M6Y/realtime?dataPoints=lastPrice,netChange",237,0,0
1661899830803,236,AMZN/api/v2/securities/0P0001ACT3/realtime-578,200,OK,GLOBAL SEARCH 1-1,text,true,,691,1141,1,1,"https://research.morningstar.com/api/v2/securities/0P0001ACT3/realtime?dataPoints=lastPrice,netChange",235,0,0
