timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662634994079,1225,"Actives, Gainers, Losers/api/v1/dashboard-192",200,OK,MAIN PAGES 1-1,text,true,,761,1298,1,1,https://research.morningstar.com/api/v1/dashboard,1225,0,805
1662634995307,313,"Actives, Gainers, Losers/api/v2/securities/movers-193",200,OK,MAIN PAGES 1-1,text,true,,1928,1160,1,1,"https://research.morningstar.com/api/v2/securities/movers?dataPoints=name,performanceID,volume,lastPrice,netChange,percentNetChange",312,0,0
1662634995620,182,"Actives, Gainers, Losers/api/v2/securities/by-id-194",200,OK,MAIN PAGES 1-1,text,true,,1355,1211,1,1,"https://research.morningstar.com/api/v2/securities/by-id?ids=0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE&fields=name",182,0,0
1662634995803,499,"Actives, Gainers, Losers/api/v2/securities/0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE/realtime-195",200,OK,MAIN PAGES 1-1,text,true,,1324,1320,1,1,"https://research.morningstar.com/api/v2/securities/0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE/realtime?dataPoints=lastPrice,netChange,percentNetChange,volume,tradingStatus,listedCurrency,openPrice,previousClosePrice,bidPrice",499,0,0
1662634996302,191,Commodity Futures/api/v1/dashboard-197,200,OK,MAIN PAGES 1-1,text,true,,941,1478,1,1,https://research.morningstar.com/api/v1/dashboard,191,0,0
1662634996493,213,"Commodity Futures/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime-198",200,OK,MAIN PAGES 1-1,text,true,,1331,1385,1,1,"https://research.morningstar.com/api/v2/securities/68.3.CC0Y,68.3.KC0Y,80.3.CT0Y,64.3.@ZC0Y,64.3.@ZS0Y,64.3.@ZM0Y,64.3.@ZL0Y,64.3.@ZW0Y,68.3.SB0Y,67.3.@CL0Y,156.3.BRN0Y,67.3.@RB0Y,67.3.@NG0Y,67.3.@HO0Y,77.3.@LE0Y,77.3.@GF0Y,77.3.@HE0Y,66.3.@GC0Y,66.3.@SI0Y,66.3.@HG0Y,67.3.@PL0Y/realtime?dataPoints=lastPrice,netChange,percentNetChange,optionExpirationDate",213,0,0
1662634996706,121,Commodity Futures/api/v2/securities/movers-199,200,OK,MAIN PAGES 1-1,text,true,,1935,1160,1,1,"https://research.morningstar.com/api/v2/securities/movers?dataPoints=name,performanceID,volume,lastPrice,netChange,percentNetChange",121,0,0
1662634996828,117,Commodity Futures/api/v2/securities/by-id-200,200,OK,MAIN PAGES 1-1,text,true,,1362,1211,1,1,"https://research.morningstar.com/api/v2/securities/by-id?ids=0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE&fields=name",117,0,0
1662634996945,240,Cryptocurrencies/api/v1/dashboard-205,200,OK,MAIN PAGES 1-1,text,true,,1125,1662,1,1,https://research.morningstar.com/api/v1/dashboard,240,0,0
1662634997186,111,Cryptocurrencies/api/v2/securities/movers-207,200,OK,MAIN PAGES 1-1,text,true,,1935,1160,1,1,"https://research.morningstar.com/api/v2/securities/movers?dataPoints=name,performanceID,volume,lastPrice,netChange,percentNetChange",110,0,0
1662634997297,196,"Cryptocurrencies/api/v2/securities/0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE,240.20.XBTUSDCOMP,240.20.XEHUSDCOMP,240.20.XRPUSDCOMP,240.20.XBHUSDCOMP,240.20.XLMUSDCOMP,240.20.XEOUSDCOMP,240.20.XLTUSDCOMP/realtime-206",200,OK,MAIN PAGES 1-1,text,true,,1644,1446,1,1,"https://research.morningstar.com/api/v2/securities/0P00011H0G,0P00000412,0P0000051X,0P0000006A,0P0001MMYT,0P0000029A,0P000000GY,0P000003XI,0P0001EEPZ,0P000003RE,240.20.XBTUSDCOMP,240.20.XEHUSDCOMP,240.20.XRPUSDCOMP,240.20.XBHUSDCOMP,240.20.XLMUSDCOMP,240.20.XEOUSDCOMP,240.20.XLTUSDCOMP/realtime?dataPoints=lastPrice,netChange,percentNetChange,volume,tradingStatus,listedCurrency,openPrice,previousClosePrice,bidPrice",195,0,0
