timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662653348249,441,AAPL/api/v2/securities/by-id-614,200,OK,SAL PAGES 1-1,text,true,,933,1086,1,1,https://research.morningstar.com/api/v2/securities/by-id?ids=0P000000GY&fields=name,436,0,246
1662653348691,386,AAPL/api/v2/securities/by-id-616,200,OK,SAL PAGES 1-1,text,true,,1471,1130,1,1,https://research.morningstar.com/api/v2/securities/by-id?ids=0P000000GY&fields=analystRating%2CfundStarRating%2CstockStarRating,386,0,0
1662653349077,196,AAPL/api/v1/securities/reports-615,200,OK,SAL PAGES 1-1,text,true,,652,1075,1,1,https://research.morningstar.com/api/v1/securities/reports?id=0P000000GY,195,0,0
1662653349274,188,AAPL/api/v2/securities/by-id-621,200,OK,SAL PAGES 1-1,text,true,,1241,1331,1,1,https://research.morningstar.com/api/v2/securities/by-id?ids=0P000000GY&fields=morningstarCategory%2CfundEquityStyleBox%2CinvestmentType%2CfundFixedIncomeStyleBox%2CinvestmentStatus%2CdistributionClass%2Cis529Fund%2CisLeveragedFund%2CisIndexFund%2CprospectusObjective%2CstrategicBetaGroup%2CsustainabilityRating%2Cname,187,0,0
1662653349462,1297,AAPL/api/v1/news-619,200,OK,SAL PAGES 1-1,text,true,,3998,1091,1,1,https://research.morningstar.com/api/v1/news?limit=30&performanceId=0P000000GY,1297,0,0
1662653350760,294,AAPL/api/v2/securities/0P000000GY/timeseries-623,200,OK,SAL PAGES 1-1,text,true,,3197,1093,1,1,https://research.morningstar.com/api/v2/securities/0P000000GY/timeseries?days=23,293,0,0
1662653351054,1176,AAPL/api/v1/articles-620,200,OK,SAL PAGES 1-1,text,true,,4693,1136,1,1,"https://research.morningstar.com/api/v1/articles?limit=30&skip-count=true&securities=0P000000GY&collections=220,242,757,796",1176,0,0
1662653352231,1455,AAPL/api/v1/articles-622,200,OK,SAL PAGES 1-1,text,true,,9877,1194,1,1,"https://research.morningstar.com/api/v1/articles?limit=30&skip-count=true&securities=0P000000GY&collections=179,584,440,748,35,520,437,433,234,467,7,732,2,582,172,17,374,507,178,177",1455,0,0
1662653353688,238,AAPL/sal-service/v1/stock/morningstarTake/v4/0P000000GY/analysisReport?locale=en&languageId=en&locale=en&clientId=rsrchexp&component=sal-components-take&version=3.76.0-626,200,OK,SAL PAGES 1-1,,true,,668,1325,1,1,https://api-global.morningstar.com/sal-service/v1/stock/morningstarTake/v4/0P000000GY/analysisReport?locale=en&languageId=en&locale=en&clientId=rsrchexp&component=sal-components-take&version=3.76.0,238,0,95
1662653353926,439,AAPL/sal-service/v1/stock/morningstarTake/v3/0P000000GY/analysisData?locale=en&languageId=en&locale=en&clientId=rsrchexp&component=sal-components-take&version=3.76.0-628,200,OK,SAL PAGES 1-1,,true,,668,1323,1,1,https://api-global.morningstar.com/sal-service/v1/stock/morningstarTake/v3/0P000000GY/analysisData?locale=en&languageId=en&locale=en&clientId=rsrchexp&component=sal-components-take&version=3.76.0,439,0,0
