timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1661899681263,722,AAPL/api/v2/securities/by-id-614,200,OK,SAL PAGES 1-1,text,true,,933,1097,1,1,https://research.morningstar.com/api/v2/securities/by-id?ids=0P000000GY&fields=name,717,0,225
1661899681989,375,AAPL/api/v2/securities/by-id-616,200,OK,SAL PAGES 1-1,text,true,,1471,1141,1,1,https://research.morningstar.com/api/v2/securities/by-id?ids=0P000000GY&fields=analystRating%2CfundStarRating%2CstockStarRating,375,0,0
1661899682364,699,AAPL/api/v1/securities/reports-615,200,OK,SAL PAGES 1-1,text,true,,652,1086,1,1,https://research.morningstar.com/api/v1/securities/reports?id=0P000000GY,698,0,0
1661899683064,180,AAPL/api/v2/securities/by-id-621,200,OK,SAL PAGES 1-1,text,true,,1241,1342,1,1,https://research.morningstar.com/api/v2/securities/by-id?ids=0P000000GY&fields=morningstarCategory%2CfundEquityStyleBox%2CinvestmentType%2CfundFixedIncomeStyleBox%2CinvestmentStatus%2CdistributionClass%2Cis529Fund%2CisLeveragedFund%2CisIndexFund%2CprospectusObjective%2CstrategicBetaGroup%2CsustainabilityRating%2Cname,180,0,0
1661899683244,691,AAPL/api/v1/news-619,200,OK,SAL PAGES 1-1,text,true,,5522,1102,1,1,https://research.morningstar.com/api/v1/news?limit=30&performanceId=0P000000GY,690,0,0
1661899683936,568,AAPL/api/v2/securities/0P000000GY/timeseries-623,200,OK,SAL PAGES 1-1,text,true,,3227,1104,1,1,https://research.morningstar.com/api/v2/securities/0P000000GY/timeseries?days=23,567,0,0
1661899684504,208,AAPL/api/v1/articles-620,200,OK,SAL PAGES 1-1,text,true,,4788,1147,1,1,"https://research.morningstar.com/api/v1/articles?limit=30&skip-count=true&securities=0P000000GY&collections=220,242,757,796",208,0,0
1661899684713,1118,AAPL/api/v1/articles-622,200,OK,SAL PAGES 1-1,text,true,,10262,1205,1,1,"https://research.morningstar.com/api/v1/articles?limit=30&skip-count=true&securities=0P000000GY&collections=179,584,440,748,35,520,437,433,234,467,7,732,2,582,172,17,374,507,178,177",1117,0,0
1661899685832,1265,AAPL/sal-service/v1/stock/morningstarTake/v4/0P000000GY/analysisReport?locale=en&languageId=en&locale=en&clientId=rsrchexp&component=sal-components-take&version=3.76.0-626,200,OK,SAL PAGES 1-1,,true,,668,1336,1,1,https://api-global.morningstar.com/sal-service/v1/stock/morningstarTake/v4/0P000000GY/analysisReport?locale=en&languageId=en&locale=en&clientId=rsrchexp&component=sal-components-take&version=3.76.0,1265,0,204
1661899687097,650,AAPL/sal-service/v1/stock/morningstarTake/v3/0P000000GY/analysisData?locale=en&languageId=en&locale=en&clientId=rsrchexp&component=sal-components-take&version=3.76.0-628,200,OK,SAL PAGES 1-1,,true,,668,1334,1,1,https://api-global.morningstar.com/sal-service/v1/stock/morningstarTake/v3/0P000000GY/analysisData?locale=en&languageId=en&locale=en&clientId=rsrchexp&component=sal-components-take&version=3.76.0,650,0,0
