timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662661879183,446,Display page/v4/fullHashes:find-279,200,OK,TOPIC PAGES 1-1,text,true,,924,648,1,1,https://safebrowsing.googleapis.com/v4/fullHashes:find?$ct=application/x-protobuf&key=AIzaSyC7jsptDS3am4tPx4r3nxis7IMjBc5Dovo&$httpMethod=POST&$req=ChUKE25hdmNsaWVudC1hdXRvLWZmb3gSGwoNCAUQBhgBIgMwMDEwARDinQ4aAhgG2ekr6houCAUQBBoGCgTbB5DwGgYKBFU9AOsaBgoEVUnldBoGCgSVXn_GGgYKBKVfgyQgAQ==,446,0,341
1662661879631,499,Display page/api/v1/articles-277,200,OK,TOPIC PAGES 1-1,text,true,,1758,1127,1,1,https://research.morningstar.com/api/v1/articles?collections=467&keywords=3&limit=3&skip-count=true,498,0,78
1662661880130,321,Display page/api/v1/articles-278,200,OK,TOPIC PAGES 1-1,text,true,,1796,1116,1,1,https://research.morningstar.com/api/v1/articles?collections=500&skip-count=true&limit=5,320,0,0
1662661880451,135,Display page/api/v1/articles-270,200,OK,TOPIC PAGES 1-1,text,true,,2995,1108,1,1,https://research.morningstar.com/api/v1/articles?collections=504&skip-count=true,135,0,0
1662661880587,322,Display page/api/v1/articles-275,200,OK,TOPIC PAGES 1-1,text,true,,3440,1117,1,1,https://research.morningstar.com/api/v1/articles?collections=507&limit=12&skip-count=true,322,0,0
1662661880909,133,Display page/api/v1/articles-273,200,OK,TOPIC PAGES 1-1,text,true,,3001,1117,1,1,https://research.morningstar.com/api/v1/articles?collections=234&limit=12&skip-count=true,132,0,0
1662661881042,330,Display page/api/v1/articles-276,200,OK,TOPIC PAGES 1-1,text,true,,2730,1116,1,1,https://research.morningstar.com/api/v1/articles?collections=179&limit=6&skip-count=true,330,0,0
1662661881373,116,Display page/api/v1/investment-lists-280,200,OK,TOPIC PAGES 1-1,text,true,,1322,1105,1,1,https://research.morningstar.com/api/v1/investment-lists?tags=stocks&limit=10,116,0,0
1662661881490,254,Display page/api/v2/securities/query-272,200,OK,TOPIC PAGES 1-1,text,true,,1690,1312,1,1,"https://research.morningstar.com/api/v2/securities/query?q=investmentType+%3D+%22EQ%22+AND+stockStarRating.isQuant%3Dfalse+AND+stockStarRating.change+%3D+%22Upgrade%22+AND+stockStarRating%3D5&fields=name,ticker,stockStarRating,exchange&sort=stockStarRating.date:desc,name:asc&limit=10",254,0,0
1662661881745,123,Display page/api/v1/articles-284,200,OK,TOPIC PAGES 1-1,text,true,,8059,1123,1,1,https://research.morningstar.com/api/v1/articles?collections=502%2C498&skip-count=true&locale=*,123,0,0
1662661881869,186,Display page/api/v1/articles-274,200,OK,TOPIC PAGES 1-1,text,true,,52739,1141,1,1,"https://research.morningstar.com/api/v1/articles?collections=555,547,548,549,550,551,546&skip-count=true&limit=20",120,0,0
1662661882056,176,Display page/api/v2/securities/query-287,200,OK,TOPIC PAGES 1-1,text,true,,1256,1238,1,1,https://research.morningstar.com/api/v2/securities/query?fields=name%2CstockStarRating&q=%28investmentType%3D%27EQ%27%29+AND+%28stockStarRating%3D5+AND+stockStarRating.isQuant%3Dfalse%29&sort=name%3Aasc&limit=5,176,0,0
1662661882233,409,Display page/api/v2/securities/query-289,200,OK,TOPIC PAGES 1-1,text,true,,1161,1320,1,1,https://research.morningstar.com/api/v2/securities/query?fields=name%2CstockStarRating&q=%28investmentType%3D%27EQ%27%29+AND+%28economicMoat+IN+%28%27Narrow%27%2C+%27Wide%27%29+AND+stockStarRating%3E%3D+4+AND+fairValue.uncertainty+IN+%28%27Low%27%2C+%27Medium%27%29%29&sort=name%3Aasc&limit=5,408,0,0
1662661882642,180,Display page/api/v2/securities/query-286,200,OK,TOPIC PAGES 1-1,text,true,,1173,1279,1,1,"https://research.morningstar.com/api/v2/securities/query?fields=name,stockStarRating&q=(investmentType%3D%27EQ%27)+AND+(priceFairValueRatio%3E%3D1.4+AND+stockStyleBox+IN+(%27Large+Value%27,+%27Large+Growth%27,+%27Large+Blend%27))&sort=name:asc&limit=5",180,0,0
1662661882823,182,Display page/api/v2/securities/query-285,200,OK,TOPIC PAGES 1-1,text,true,,1205,1323,1,1,"https://research.morningstar.com/api/v2/securities/query?fields=name,stockStarRating&q=(investmentType%3D%27EQ%27)+AND+(economicMoat+IN+(%27Narrow%27,+%27Wide%27)+AND+economicMoat.trend+IN+(%27Stable%27,+%27Positive%27)+AND+stockStarRating%3E%3D4+AND+sector%3D%27Energy%27)&sort=name:asc&limit=5",182,0,0
