timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1661377349738,1936,Display page/api/v2/securities/query-293,200,OK,TOOLS 1-1,text,true,,3441,1256,1,1,"https://research-preview.morningstar.com/api/v2/securities/query?fields=ticker,name,stockStarRating,sector,industry,stockStyleBox,marketCap,baseCurrency,economicMoat,stewardshipRating&q=(investmentType%3D%27EQ%27)&sort=name:asc&page=1&limit=50",1935,0,1368
1661377351678,210,Display page/j/collect?v=1&_v=j96&a=1188781882&t=event&ni=0&_s=1&dl=https%3A%2F%2Fresearch-preview.morningstar.com%2Fscreen&ul=en-us&de=UTF-8&dt=Screen%20for%20Stocks%20%7C%20Morningstar&sd=30-bit&sr=1920x1080&vp=1021x890&je=0&ec=%2Fscreen&ea=open&el=Screen%20for%20Stocks%20%7C%20Morningstar&_u=SACAAEABAAAAAC~&jid=1191592503&gjid=1077089967&cid=163151662.1658512225&tid=UA-217690896-1&_gid=1890680402.1660053070&_r=1&gtm=2wg88053GZMMT&cd4=0000-0000-0000-0000&cd5=00000000&cd6=Internal&cd7=morningstar&cd8=MOR&z=1286490672-294,200,OK,TOOLS 1-1,text,true,,601,917,1,1,https://www.google-analytics.com/j/collect?v=1&_v=j96&a=1188781882&t=event&ni=0&_s=1&dl=https%3A%2F%2Fresearch-preview.morningstar.com%2Fscreen&ul=en-us&de=UTF-8&dt=Screen%20for%20Stocks%20%7C%20Morningstar&sd=30-bit&sr=1920x1080&vp=1021x890&je=0&ec=%2Fscreen&ea=open&el=Screen%20for%20Stocks%20%7C%20Morningstar&_u=SACAAEABAAAAAC~&jid=1191592503&gjid=1077089967&cid=163151662.1658512225&tid=UA-217690896-1&_gid=1890680402.1660053070&_r=1&gtm=2wg88053GZMMT&cd4=0000-0000-0000-0000&cd5=00000000&cd6=Internal&cd7=morningstar&cd8=MOR&z=1286490672,210,0,131
1661377351890,120,Display page/api/v2/securities/query-297,200,OK,TOOLS 1-1,text,true,,2640,1176,1,1,https://research-preview.morningstar.com/api/v2/securities/query?q=%28investmentType%3D%27EQ%27%29&limit=0&aggregations=terms%28industry%2C+size%3D1000%29+AS+terms,120,0,0
1661377352011,115,Display page/api/v2/securities/query-296,200,OK,TOOLS 1-1,text,true,,1111,1174,1,1,https://research-preview.morningstar.com/api/v2/securities/query?q=%28investmentType%3D%27EQ%27%29&limit=0&aggregations=terms%28sector%2C+size%3D1000%29+AS+terms,115,0,0
1661377352127,199,Display page/ads/ga-audiences-302,200,OK,TOOLS 1-1,bin,true,,678,474,1,1,https://www.google.com.co/ads/ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-LEPHTTYQEC&cid=163151662.1658512225&gtm=2oe880&aip=1&z=2113765230,199,0,119
1661377352327,227,Display page/g/collect?v=2&tid=G-LEPHTTYQEC&gtm=2oe880&_p=1188781882&_gaz=1&cid=163151662.1658512225&ul=en-us&sr=1920x1080&_z=ccd.v9B&_s=26&dl=https%3A%2F%2Fresearch-preview.morningstar.com%2Fscreen&dr=https%3A%2F%2Fresearch-preview.morningstar.com%2Fstocks&sid=1660160309&sct=12&seg=1&dt=Screen%20for%20Stocks%20%7C%20Morningstar&en=page_view&_et=20382-301,204,No Content,TOOLS 1-1,text,true,,529,784,1,1,https://analytics.google.com/g/collect?v=2&tid=G-LEPHTTYQEC&gtm=2oe880&_p=1188781882&_gaz=1&cid=163151662.1658512225&ul=en-us&sr=1920x1080&_z=ccd.v9B&_s=26&dl=https%3A%2F%2Fresearch-preview.morningstar.com%2Fscreen&dr=https%3A%2F%2Fresearch-preview.morningstar.com%2Fstocks&sid=1660160309&sct=12&seg=1&dt=Screen%20for%20Stocks%20%7C%20Morningstar&en=page_view&_et=20382,0,0,145
1661377352555,115,Display page/api/v1/articles-303,200,OK,TOOLS 1-1,text,true,,615,1463,1,1,"https://research-preview.morningstar.com/api/v1/articles?limit=30&skip-count=true&securities=0P00000003,0P000003B6,0P00005RWB,0P00009QUU,0P00009QXV,0P0000AIN5,0P0000ANP8,0P0000AOPM,0P0000ASK1,0P0000AUZ8,0P0000AX6Y,0P0000B2WJ,0P0000B8XB,0P0000BEJI,0P0000BTBB,0P0000BUZ2,0P0000BZBW,0P0000CA99,0P0000CCK6,0P0000DKX2,0P0000E9R2,0P0000EEFN,0P0000EZL9,0P0000F0BD,0P0000JGYA,0P0000JK6M,0P0000NK4W,0P0000STG2,0P0000ZBUV,0P00013Y25&collections=220,242,757,796",114,0,0
1661377352670,312,Display page/api/v1/news-300,200,OK,TOOLS 1-1,text,true,,1492,1308,1,1,"https://research-preview.morningstar.com/api/v1/news?limit=30&performanceId=0P00014J5K,0P00015LTC,0P00016BAL,0P00016F0G,0P0001BKES,0P0001HU8Z,0P0001ID93,0P0001IFM7,0P0001IFPK,0P0001IG5R,0P0001IGZQ,0P0001LPTI,0P0001LYQV,0P0001MPSM,0P0001NHF3,0P0001O207,0P0001O25H,0P0001O9ZH,0P0001OMLZ,0P0001OPT8",311,0,0
1661377352982,116,Display page/api/v1/news-299,200,OK,TOOLS 1-1,text,true,,1210,1418,1,1,"https://research-preview.morningstar.com/api/v1/news?limit=30&performanceId=0P00000003,0P000003B6,0P00005RWB,0P00009QUU,0P00009QXV,0P0000AIN5,0P0000ANP8,0P0000AOPM,0P0000ASK1,0P0000AUZ8,0P0000AX6Y,0P0000B2WJ,0P0000B8XB,0P0000BEJI,0P0000BTBB,0P0000BUZ2,0P0000BZBW,0P0000CA99,0P0000CCK6,0P0000DKX2,0P0000E9R2,0P0000EEFN,0P0000EZL9,0P0000F0BD,0P0000JGYA,0P0000JK6M,0P0000NK4W,0P0000STG2,0P0000ZBUV,0P00013Y25",116,0,0
1661377353099,415,Display page/api/v1/articles-305,200,OK,TOOLS 1-1,text,true,,615,1397,1,1,https://research-preview.morningstar.com/api/v1/articles?limit=30&skip-count=true&securities=0P00014J5K%2C0P00015LTC%2C0P00016BAL%2C0P00016F0G%2C0P0001BKES%2C0P0001HU8Z%2C0P0001ID93%2C0P0001IFM7%2C0P0001IFPK%2C0P0001IG5R%2C0P0001IGZQ%2C0P0001LPTI%2C0P0001LYQV%2C0P0001MPSM%2C0P0001NHF3%2C0P0001O207%2C0P0001O25H%2C0P0001O9ZH%2C0P0001OMLZ%2C0P0001OPT8&collections=220%2C242%2C757%2C796,415,0,0
1661377353515,111,Display page/api/v1/articles-307,200,OK,TOOLS 1-1,text,true,,615,1487,1,1,https://research-preview.morningstar.com/api/v1/articles?limit=30&skip-count=true&securities=0P00014J5K%2C0P00015LTC%2C0P00016BAL%2C0P00016F0G%2C0P0001BKES%2C0P0001HU8Z%2C0P0001ID93%2C0P0001IFM7%2C0P0001IFPK%2C0P0001IG5R%2C0P0001IGZQ%2C0P0001LPTI%2C0P0001LYQV%2C0P0001MPSM%2C0P0001NHF3%2C0P0001O207%2C0P0001O25H%2C0P0001O9ZH%2C0P0001OMLZ%2C0P0001OPT8&collections=179%2C584%2C440%2C748%2C35%2C520%2C437%2C433%2C234%2C467%2C7%2C732%2C2%2C582%2C172%2C17%2C374%2C507%2C178%2C177,111,0,0
