timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659545304054,915,Display page/stocks-1,401,Unauthorized,Baseline 1-1,text,false,,5176,474,1,1,https://research-preview.morningstar.com/stocks,913,0,539
1659545304972,260,Display page/g/collect?v=2&tid=G-LEPHTTYQEC&gtm=2oe7r0&_p=2050120001&_z=ccd.v9B&_gaz=1&cid=163151662.1658512225&ul=en-us&sr=1920x1080&_s=2&sid=1659389202&sct=6&seg=0&dl=https%3A%2F%2Fresearch-preview.morningstar.com%2Fstocks&dt=Stocks%20%7C%20Morningstar&en=user_engagement&_ss=1-3,204,No Content,Baseline 1-1,text,true,,563,778,1,1,https://analytics.google.com/g/collect?v=2&tid=G-LEPHTTYQEC&gtm=2oe7r0&_p=2050120001&_z=ccd.v9B&_gaz=1&cid=163151662.1658512225&ul=en-us&sr=1920x1080&_s=2&sid=1659389202&sct=6&seg=0&dl=https%3A%2F%2Fresearch-preview.morningstar.com%2Fstocks&dt=Stocks%20%7C%20Morningstar&en=user_engagement&_ss=1,0,0,178
1659545305233,236,Display page/ads/ga-audiences-4,200,OK,Baseline 1-1,bin,true,,678,508,1,1,https://www.google.com.co/ads/ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-LEPHTTYQEC&cid=163151662.1658512225&gtm=2oe7r0&aip=1&z=1416612367,236,0,149
1659545305470,341,Display page/gtm.js-5,200,OK,Baseline 1-1,text,true,,53491,404,1,1,https://www.googletagmanager.com/gtm.js?id=GTM-53GZMMT,341,0,154
1659545305811,204,Display page/gtag/js-12,200,OK,Baseline 1-1,text,true,,73952,423,1,1,https://www.googletagmanager.com/gtag/js?id=G-LEPHTTYQEC&l=dataLayer&cx=c,204,0,0
1659545306015,121,Display page/api/v1/articles-11,401,Unauthorized,Baseline 1-1,,false,,307,490,1,1,https://research-preview.morningstar.com/api/v1/articles?collections=467&keywords=3&limit=3&skip-count=true,121,0,0
1659545306137,373,Display page/73cb42d36186.js-13,200,OK,Baseline 1-1,text,true,,11053,393,1,1,https://w.usabilla.com/73cb42d36186.js?lv=1,372,0,290
1659545306511,318,Display page/api/v1/articles-9,401,Unauthorized,Baseline 1-1,,false,,307,480,1,1,https://research-preview.morningstar.com/api/v1/articles?collections=234&limit=12&skip-count=true,318,0,0
1659545306830,114,Display page/api/v1/articles-10,401,Unauthorized,Baseline 1-1,,false,,307,480,1,1,https://research-preview.morningstar.com/api/v1/articles?collections=507&limit=12&skip-count=true,114,0,0
1659545306945,120,Display page/api/v1/articles-6,401,Unauthorized,Baseline 1-1,,false,,307,471,1,1,https://research-preview.morningstar.com/api/v1/articles?collections=504&skip-count=true,120,0,0
1659545307066,114,Display page/api/v1/investment-lists-14,401,Unauthorized,Baseline 1-1,,false,,307,468,1,1,https://research-preview.morningstar.com/api/v1/investment-lists?tags=stocks&limit=10,114,0,0
1659545307180,316,Display page/api/v1/articles-16,401,Unauthorized,Baseline 1-1,,false,,307,479,1,1,https://research-preview.morningstar.com/api/v1/articles?collections=500&skip-count=true&limit=5,316,0,0
1659545307497,117,Display page/api/v1/articles-17,401,Unauthorized,Baseline 1-1,,false,,307,479,1,1,https://research-preview.morningstar.com/api/v1/articles?collections=179&limit=6&skip-count=true,117,0,0
1659545307614,278,Display page/g/collect?v=2&tid=G-LEPHTTYQEC&cid=163151662.1658512225&gtm=2oe7r0&aip=1-21,204,No Content,Baseline 1-1,text,true,,563,587,1,1,https://stats.g.doubleclick.net/g/collect?v=2&tid=G-LEPHTTYQEC&cid=163151662.1658512225&gtm=2oe7r0&aip=1,0,0,193
1659545307893,308,Display page/api/v1/articles-18,401,Unauthorized,Baseline 1-1,,false,,307,516,1,1,https://research-preview.morningstar.com/api/v1/articles?collections=555%2C547%2C548%2C549%2C550%2C551%2C546&skip-count=true&limit=20,308,0,0
1659545308202,256,Display page/j/collect?v=1&_v=j96&a=1635965372&t=event&ni=0&_s=1&dl=https%3A%2F%2Fresearch-preview.morningstar.com%2Fstocks&ul=en-us&de=UTF-8&dt=Stocks%20%7C%20Morningstar&sd=30-bit&sr=1920x1080&vp=980x890&je=0&ec=%2Fstocks&ea=open&el=Stocks%20%7C%20Morningstar&_u=QACAAEABAAAAAC~&jid=1213228038&gjid=2026833754&cid=163151662.1658512225&tid=UA-217690896-1&_gid=472964456.1659372593&_r=1&gtm=2wg7r053GZMMT&cd4=0000-0000-0000-0000&cd5=00000000&cd6=Internal&cd7=morningstar&cd8=MOR&z=1062278386-25,200,OK,Baseline 1-1,text,true,,635,953,1,1,https://www.google-analytics.com/j/collect?v=1&_v=j96&a=1635965372&t=event&ni=0&_s=1&dl=https%3A%2F%2Fresearch-preview.morningstar.com%2Fstocks&ul=en-us&de=UTF-8&dt=Stocks%20%7C%20Morningstar&sd=30-bit&sr=1920x1080&vp=980x890&je=0&ec=%2Fstocks&ea=open&el=Stocks%20%7C%20Morningstar&_u=QACAAEABAAAAAC~&jid=1213228038&gjid=2026833754&cid=163151662.1658512225&tid=UA-217690896-1&_gid=472964456.1659372593&_r=1&gtm=2wg7r053GZMMT&cd4=0000-0000-0000-0000&cd5=00000000&cd6=Internal&cd7=morningstar&cd8=MOR&z=1062278386,256,0,163
1659545308458,92,Display page/g/collect?v=2&tid=G-LEPHTTYQEC&gtm=2oe7r0&_p=1635965372&_z=ccd.v9B&cid=163151662.1658512225&ul=en-us&sr=1920x1080&_s=1&sid=1659389202&sct=6&seg=1&dl=https%3A%2F%2Fresearch-preview.morningstar.com%2Fstocks&dt=Stocks%20%7C%20Morningstar&en=page_view-26,204,No Content,Baseline 1-1,text,true,,563,759,1,1,https://analytics.google.com/g/collect?v=2&tid=G-LEPHTTYQEC&gtm=2oe7r0&_p=1635965372&_z=ccd.v9B&cid=163151662.1658512225&ul=en-us&sr=1920x1080&_s=1&sid=1659389202&sct=6&seg=1&dl=https%3A%2F%2Fresearch-preview.morningstar.com%2Fstocks&dt=Stocks%20%7C%20Morningstar&en=page_view,0,0,0
1659545308550,170,Display page/api/v2/securities/query-8,401,Unauthorized,Baseline 1-1,text,false,,556,675,1,1,"https://research-preview.morningstar.com/api/v2/securities/query?q=investmentType+%3D+%22EQ%22+AND+stockStarRating.isQuant%3Dfalse+AND+stockStarRating.change+%3D+%22Upgrade%22+AND+stockStarRating%3D5&fields=name,ticker,stockStarRating,exchange&sort=stockStarRating.date:desc,name:asc&limit=10",170,0,0
